"","hour","type","count"
"1",2020-03-22 16:00:00,"misinformation",248
"2",2020-03-22 14:00:00,"misinformation",295
"3",2020-03-22 15:00:00,"misinformation",252
"4",2020-03-22 17:00:00,"misinformation",321
"5",2020-03-24 02:00:00,"misinformation",73
"6",2020-03-24 03:00:00,"misinformation",62
"7",2020-03-23 23:00:00,"misinformation",214
"8",2020-03-24 11:00:00,"misinformation",376
"9",2020-03-24 00:00:00,"misinformation",128
"10",2020-03-24 13:00:00,"misinformation",323
"11",2020-03-25 00:00:00,"misinformation",0
"12",2020-03-22 09:00:00,"misinformation",517
"13",2020-03-24 22:00:00,"misinformation",49
"14",2020-03-24 08:00:00,"misinformation",391
"15",2020-03-25 18:00:00,"misinformation",0
"16",2020-03-25 10:00:00,"misinformation",131
"17",2020-03-23 19:00:00,"misinformation",274
"18",2020-03-25 11:00:00,"misinformation",381
"19",2020-03-25 16:00:00,"misinformation",246
"20",2020-03-22 12:00:00,"misinformation",315
"21",2020-03-23 13:00:00,"misinformation",317
"22",2020-03-23 17:00:00,"misinformation",239
"23",2020-03-25 13:00:00,"misinformation",155
"24",2020-03-23 10:00:00,"misinformation",298
"25",2020-03-25 09:00:00,"misinformation",0
"26",2020-03-24 14:00:00,"misinformation",361
"27",2020-03-25 12:00:00,"misinformation",388
"28",2020-03-25 14:00:00,"misinformation",123
"29",2020-03-22 13:00:00,"misinformation",293
"30",2020-03-24 21:00:00,"misinformation",198
"31",2020-03-23 07:00:00,"misinformation",222
"32",2020-03-22 21:00:00,"misinformation",240
"33",2020-03-24 16:00:00,"misinformation",300
"34",2020-03-22 22:00:00,"misinformation",232
"35",2020-03-24 23:00:00,"misinformation",0
"36",2020-03-22 08:00:00,"misinformation",410
"37",2020-03-23 15:00:00,"misinformation",269
"38",2020-03-24 10:00:00,"misinformation",421
"39",2020-03-23 22:00:00,"misinformation",276
"40",2020-03-24 19:00:00,"misinformation",220
"41",2020-03-22 10:00:00,"misinformation",459
"42",2020-03-23 08:00:00,"misinformation",282
"43",2020-03-25 07:00:00,"misinformation",221
"44",2020-03-23 14:00:00,"misinformation",309
"45",2020-03-22 20:00:00,"misinformation",231
"46",2020-03-25 17:00:00,"misinformation",118
"47",2020-03-24 15:00:00,"misinformation",324
"48",2020-03-23 02:00:00,"misinformation",59
"49",2020-03-23 21:00:00,"misinformation",353
"50",2020-03-22 23:00:00,"misinformation",157
"51",2020-03-24 09:00:00,"misinformation",416
"52",2020-03-25 20:00:00,"misinformation",0
"53",2020-03-22 11:00:00,"misinformation",358
"54",2020-03-21 23:00:00,"misinformation",216
"55",2020-03-21 22:00:00,"misinformation",220
"56",2020-03-23 06:00:00,"misinformation",144
"57",2020-03-24 18:00:00,"misinformation",234
"58",2020-03-22 18:00:00,"misinformation",237
"59",2020-03-24 20:00:00,"misinformation",199
"60",2020-03-24 17:00:00,"misinformation",215
"61",2020-03-25 05:00:00,"misinformation",73
"62",2020-03-25 19:00:00,"misinformation",0
"63",2020-03-22 03:00:00,"misinformation",72
"64",2020-03-25 04:00:00,"misinformation",42
"65",2020-03-23 12:00:00,"misinformation",325
"66",2020-03-24 12:00:00,"misinformation",351
"67",2020-03-23 09:00:00,"misinformation",302
"68",2020-03-22 19:00:00,"misinformation",241
"69",2020-03-21 21:00:00,"misinformation",252
"70",2020-03-25 06:00:00,"misinformation",138
"71",2020-03-24 06:00:00,"misinformation",174
"72",2020-03-24 05:00:00,"misinformation",99
"73",2020-03-23 20:00:00,"misinformation",309
"74",2020-03-25 15:00:00,"misinformation",228
"75",2020-03-23 18:00:00,"misinformation",267
"76",2020-03-23 16:00:00,"misinformation",233
"77",2020-03-23 01:00:00,"misinformation",68
"78",2020-03-23 11:00:00,"misinformation",334
"79",2020-03-24 01:00:00,"misinformation",88
"80",2020-03-23 00:00:00,"misinformation",135
"81",2020-03-22 01:00:00,"misinformation",132
"82",2020-03-25 08:00:00,"misinformation",251
"83",2020-03-24 07:00:00,"misinformation",323
"84",2020-03-21 20:00:00,"misinformation",317
"85",2020-03-22 05:00:00,"misinformation",89
"86",2020-03-23 03:00:00,"misinformation",41
"87",2020-03-22 00:00:00,"misinformation",168
"88",2020-03-22 04:00:00,"misinformation",69
"89",2020-03-22 02:00:00,"misinformation",105
"90",2020-03-22 07:00:00,"misinformation",304
"91",2020-03-22 06:00:00,"misinformation",160
"92",2020-03-23 05:00:00,"misinformation",67
"93",2020-03-25 01:00:00,"misinformation",0
"94",2020-03-25 03:00:00,"misinformation",1
"95",2020-03-23 04:00:00,"misinformation",40
"96",2020-03-24 04:00:00,"misinformation",64
"97",2020-03-25 02:00:00,"misinformation",0
"98",2020-03-22 16:00:00,"tweets",33888
"99",2020-03-22 14:00:00,"tweets",30532
"100",2020-03-22 15:00:00,"tweets",30776
"101",2020-03-22 17:00:00,"tweets",37438
"102",2020-03-24 02:00:00,"tweets",5712
"103",2020-03-24 03:00:00,"tweets",4430
"104",2020-03-23 23:00:00,"tweets",27884
"105",2020-03-24 11:00:00,"tweets",34936
"106",2020-03-24 00:00:00,"tweets",14965
"107",2020-03-24 13:00:00,"tweets",33977
"108",2020-03-25 00:00:00,"tweets",11473
"109",2020-03-22 09:00:00,"tweets",34391
"110",2020-03-24 22:00:00,"tweets",27710
"111",2020-03-24 08:00:00,"tweets",30479
"112",2020-03-25 18:00:00,"tweets",33765
"113",2020-03-25 10:00:00,"tweets",41964
"114",2020-03-23 19:00:00,"tweets",36652
"115",2020-03-25 11:00:00,"tweets",41635
"116",2020-03-25 16:00:00,"tweets",35773
"117",2020-03-22 12:00:00,"tweets",29808
"118",2020-03-23 13:00:00,"tweets",34493
"119",2020-03-23 17:00:00,"tweets",37339
"120",2020-03-25 13:00:00,"tweets",36722
"121",2020-03-23 10:00:00,"tweets",36218
"122",2020-03-25 09:00:00,"tweets",33504
"123",2020-03-24 14:00:00,"tweets",32180
"124",2020-03-25 12:00:00,"tweets",38741
"125",2020-03-25 14:00:00,"tweets",34900
"126",2020-03-22 13:00:00,"tweets",29335
"127",2020-03-24 21:00:00,"tweets",31222
"128",2020-03-23 07:00:00,"tweets",26925
"129",2020-03-22 21:00:00,"tweets",37030
"130",2020-03-24 16:00:00,"tweets",36723
"131",2020-03-22 22:00:00,"tweets",35399
"132",2020-03-24 23:00:00,"tweets",19860
"133",2020-03-22 08:00:00,"tweets",29610
"134",2020-03-23 15:00:00,"tweets",33699
"135",2020-03-24 10:00:00,"tweets",35368
"136",2020-03-23 22:00:00,"tweets",41492
"137",2020-03-24 19:00:00,"tweets",34640
"138",2020-03-22 10:00:00,"tweets",33147
"139",2020-03-23 08:00:00,"tweets",33136
"140",2020-03-25 07:00:00,"tweets",23745
"141",2020-03-23 14:00:00,"tweets",33531
"142",2020-03-22 20:00:00,"tweets",37672
"143",2020-03-25 17:00:00,"tweets",36264
"144",2020-03-24 15:00:00,"tweets",33789
"145",2020-03-23 02:00:00,"tweets",6453
"146",2020-03-23 21:00:00,"tweets",55839
"147",2020-03-22 23:00:00,"tweets",25751
"148",2020-03-24 09:00:00,"tweets",33370
"149",2020-03-25 20:00:00,"tweets",15332
"150",2020-03-22 11:00:00,"tweets",31412
"151",2020-03-21 23:00:00,"tweets",24279
"152",2020-03-21 22:00:00,"tweets",31768
"153",2020-03-23 06:00:00,"tweets",14669
"154",2020-03-24 18:00:00,"tweets",32573
"155",2020-03-22 18:00:00,"tweets",35924
"156",2020-03-24 20:00:00,"tweets",32262
"157",2020-03-24 17:00:00,"tweets",35831
"158",2020-03-25 05:00:00,"tweets",5229
"159",2020-03-25 19:00:00,"tweets",32808
"160",2020-03-22 03:00:00,"tweets",4534
"161",2020-03-25 04:00:00,"tweets",3508
"162",2020-03-23 12:00:00,"tweets",35007
"163",2020-03-24 12:00:00,"tweets",34462
"164",2020-03-23 09:00:00,"tweets",35590
"165",2020-03-22 19:00:00,"tweets",36118
"166",2020-03-21 21:00:00,"tweets",32808
"167",2020-03-25 06:00:00,"tweets",12349
"168",2020-03-24 06:00:00,"tweets",13189
"169",2020-03-24 05:00:00,"tweets",5497
"170",2020-03-23 20:00:00,"tweets",51990
"171",2020-03-25 15:00:00,"tweets",34894
"172",2020-03-23 18:00:00,"tweets",37062
"173",2020-03-23 16:00:00,"tweets",34789
"174",2020-03-23 01:00:00,"tweets",9640
"175",2020-03-23 11:00:00,"tweets",36465
"176",2020-03-24 01:00:00,"tweets",8676
"177",2020-03-23 00:00:00,"tweets",15689
"178",2020-03-22 01:00:00,"tweets",9244
"179",2020-03-25 08:00:00,"tweets",30551
"180",2020-03-24 07:00:00,"tweets",24173
"181",2020-03-21 20:00:00,"tweets",32091
"182",2020-03-22 05:00:00,"tweets",4772
"183",2020-03-23 03:00:00,"tweets",4759
"184",2020-03-22 00:00:00,"tweets",15500
"185",2020-03-22 04:00:00,"tweets",4022
"186",2020-03-22 02:00:00,"tweets",6072
"187",2020-03-22 07:00:00,"tweets",20432
"188",2020-03-22 06:00:00,"tweets",9951
"189",2020-03-23 05:00:00,"tweets",6149
"190",2020-03-25 01:00:00,"tweets",6843
"191",2020-03-25 03:00:00,"tweets",3850
"192",2020-03-23 04:00:00,"tweets",4192
"193",2020-03-24 04:00:00,"tweets",3936
"194",2020-03-25 02:00:00,"tweets",4712
"195",2020-03-22 16:00:00,"bots",10513
"196",2020-03-22 14:00:00,"bots",9328
"197",2020-03-22 15:00:00,"bots",9384
"198",2020-03-22 17:00:00,"bots",11642
"199",2020-03-24 02:00:00,"bots",2320
"200",2020-03-24 03:00:00,"bots",1908
"201",2020-03-23 23:00:00,"bots",10362
"202",2020-03-24 11:00:00,"bots",13058
"203",2020-03-24 00:00:00,"bots",5731
"204",2020-03-24 13:00:00,"bots",12854
"205",2020-03-25 00:00:00,"bots",3884
"206",2020-03-22 09:00:00,"bots",10558
"207",2020-03-24 22:00:00,"bots",8529
"208",2020-03-24 08:00:00,"bots",11384
"209",2020-03-25 18:00:00,"bots",11416
"210",2020-03-25 10:00:00,"bots",13506
"211",2020-03-23 19:00:00,"bots",14171
"212",2020-03-25 11:00:00,"bots",12590
"213",2020-03-25 16:00:00,"bots",10701
"214",2020-03-22 12:00:00,"bots",9126
"215",2020-03-23 13:00:00,"bots",12747
"216",2020-03-23 17:00:00,"bots",14024
"217",2020-03-25 13:00:00,"bots",11060
"218",2020-03-23 10:00:00,"bots",13466
"219",2020-03-25 09:00:00,"bots",10378
"220",2020-03-24 14:00:00,"bots",12145
"221",2020-03-25 12:00:00,"bots",11876
"222",2020-03-25 14:00:00,"bots",10710
"223",2020-03-22 13:00:00,"bots",8894
"224",2020-03-24 21:00:00,"bots",9601
"225",2020-03-23 07:00:00,"bots",8147
"226",2020-03-22 21:00:00,"bots",10760
"227",2020-03-24 16:00:00,"bots",13991
"228",2020-03-22 22:00:00,"bots",10282
"229",2020-03-24 23:00:00,"bots",6406
"230",2020-03-22 08:00:00,"bots",9003
"231",2020-03-23 15:00:00,"bots",12791
"232",2020-03-24 10:00:00,"bots",12935
"233",2020-03-23 22:00:00,"bots",15006
"234",2020-03-24 19:00:00,"bots",14392
"235",2020-03-22 10:00:00,"bots",9857
"236",2020-03-23 08:00:00,"bots",11373
"237",2020-03-25 07:00:00,"bots",7649
"238",2020-03-23 14:00:00,"bots",12568
"239",2020-03-22 20:00:00,"bots",11903
"240",2020-03-25 17:00:00,"bots",11076
"241",2020-03-24 15:00:00,"bots",12659
"242",2020-03-23 02:00:00,"bots",2140
"243",2020-03-23 21:00:00,"bots",20155
"244",2020-03-22 23:00:00,"bots",7881
"245",2020-03-24 09:00:00,"bots",12321
"246",2020-03-25 20:00:00,"bots",4714
"247",2020-03-22 11:00:00,"bots",9509
"248",2020-03-21 23:00:00,"bots",7606
"249",2020-03-21 22:00:00,"bots",10044
"250",2020-03-23 06:00:00,"bots",4415
"251",2020-03-24 18:00:00,"bots",12482
"252",2020-03-22 18:00:00,"bots",10859
"253",2020-03-24 20:00:00,"bots",11088
"254",2020-03-24 17:00:00,"bots",13748
"255",2020-03-25 05:00:00,"bots",1744
"256",2020-03-25 19:00:00,"bots",10132
"257",2020-03-22 03:00:00,"bots",1597
"258",2020-03-25 04:00:00,"bots",1170
"259",2020-03-23 12:00:00,"bots",13214
"260",2020-03-24 12:00:00,"bots",12791
"261",2020-03-23 09:00:00,"bots",13518
"262",2020-03-22 19:00:00,"bots",10856
"263",2020-03-21 21:00:00,"bots",9709
"264",2020-03-25 06:00:00,"bots",4044
"265",2020-03-24 06:00:00,"bots",5147
"266",2020-03-24 05:00:00,"bots",2216
"267",2020-03-23 20:00:00,"bots",19157
"268",2020-03-25 15:00:00,"bots",10372
"269",2020-03-23 18:00:00,"bots",13939
"270",2020-03-23 16:00:00,"bots",13099
"271",2020-03-23 01:00:00,"bots",3149
"272",2020-03-23 11:00:00,"bots",13589
"273",2020-03-24 01:00:00,"bots",3431
"274",2020-03-23 00:00:00,"bots",5118
"275",2020-03-22 01:00:00,"bots",3221
"276",2020-03-25 08:00:00,"bots",9674
"277",2020-03-24 07:00:00,"bots",9412
"278",2020-03-21 20:00:00,"bots",9854
"279",2020-03-22 05:00:00,"bots",1767
"280",2020-03-23 03:00:00,"bots",1698
"281",2020-03-22 00:00:00,"bots",5072
"282",2020-03-22 04:00:00,"bots",1558
"283",2020-03-22 02:00:00,"bots",2277
"284",2020-03-22 07:00:00,"bots",6472
"285",2020-03-22 06:00:00,"bots",3193
"286",2020-03-23 05:00:00,"bots",2020
"287",2020-03-25 01:00:00,"bots",2398
"288",2020-03-25 03:00:00,"bots",1420
"289",2020-03-23 04:00:00,"bots",1438
"290",2020-03-24 04:00:00,"bots",1714
"291",2020-03-25 02:00:00,"bots",1603
